"id","customer_age","gender","education_level","income_category","total_relationship_count","months_inactive_12_mon","credit_limit","total_revolving_bal","total_amt_chng_q4_q1","total_trans_amt","total_trans_ct","total_ct_chng_q4_q1","avg_utilization_ratio","churned"
2960,55,"M","Post-Graduate","$80K - $120K",6,1,6400,1979,0.696,4475,91,0.685,0.309,"No"
10101,38,"F","Graduate","Less than $40K",1,2,3860,1175,0.734,14474,118,0.71,0.304,"No"
166,36,"F","Unknown","Less than $40K",3,2,1438.3,0,0.827,4886,85,0.771,0,"No"
6731,53,"M","Uneducated","$80K - $120K",3,3,11450,2129,0.956,2197,45,0.957,0.186,"No"
3586,54,"M","Doctorate","$60K - $80K",4,2,9110,0,0.662,2999,75,0.786,0,"No"
1820,39,"F","College","Less than $40K",4,2,2144,1557,0.775,4571,85,0.848,0.726,"No"
4556,50,"M","Graduate","$60K - $80K",4,2,21872,1118,0.658,1806,31,0.409,0.051,"No"
9493,49,"M","Post-Graduate","$60K - $80K",4,2,18253,2517,0.91,3737,73,0.587,0.138,"No"
2016,58,"M","Uneducated","$120K +",6,2,9788,1794,0.778,1805,37,0.762,0.183,"No"
3287,46,"M","High School","$80K - $120K",2,1,21350,1724,0.512,4878,78,0.444,0.081,"No"
6553,45,"F","Uneducated","Less than $40K",3,2,2059,1118,0.788,4110,71,1.152,0.543,"No"
5517,35,"F","Graduate","$40K - $60K",3,1,1438.3,0,0.744,4434,73,0.78,0,"No"
4510,52,"F","Doctorate","Less than $40K",4,3,4353,1489,0.945,9226,85,1.073,0.342,"Yes"
6537,46,"F","Graduate","Less than $40K",5,3,9478,820,0.64,1327,41,0.864,0.087,"No"
3342,37,"M","Unknown","$60K - $80K",4,1,2865,1176,0.665,3462,61,0.906,0.41,"No"
8507,49,"F","College","Less than $40K",2,3,10741,2517,1.087,8352,71,0.821,0.234,"No"
3577,51,"M","High School","$120K +",6,3,7319,1692,0.701,1233,29,0.611,0.231,"No"
1187,50,"F","Graduate","Less than $40K",1,1,3287,2517,0.586,4148,83,0.66,0.766,"No"
1083,55,"M","Doctorate","$80K - $120K",6,3,3046,2415,0.492,3153,57,0.583,0.793,"No"
9532,50,"F","High School","Less than $40K",1,3,13384,0,0.696,4773,77,0.674,0,"No"
664,56,"F","Graduate","Less than $40K",4,3,2433,1947,0.816,4269,88,0.76,0.8,"No"
567,63,"F","High School","Less than $40K",4,3,2074,1688,0.62,4232,75,0.5,0.814,"No"
3177,44,"M","High School","$60K - $80K",6,2,2675,0,0.7,4149,79,0.717,0,"No"
4730,62,"F","Unknown","Less than $40K",3,1,2064,1282,0.455,1475,27,0.929,0.621,"No"
6806,49,"F","Unknown","Less than $40K",5,2,3243,0,0.685,6059,71,0.821,0,"Yes"
2937,50,"M","Uneducated","$120K +",6,3,22304,1333,0.463,5002,60,0.5,0.06,"No"
9695,62,"F","Graduate","Less than $40K",3,1,2230,1716,0.811,4027,75,0.5,0.77,"No"
6520,39,"M","College","$60K - $80K",3,1,2731,1573,0.943,1813,38,0.727,0.576,"No"
4878,34,"M","Graduate","$60K - $80K",5,2,2501,1909,0.956,1850,34,1.125,0.763,"No"
670,40,"F","High School","Less than $40K",4,3,1438.3,544,0.543,2294,40,0.739,0.378,"Yes"
7070,57,"M","Uneducated","$60K - $80K",4,3,32182,0,0.52,1937,46,0.704,0,"Yes"
1868,41,"F","Graduate","$40K - $60K",1,1,9294,1764,1.026,4531,73,0.738,0.19,"No"
3840,48,"M","Graduate","$60K - $80K",6,1,6085,930,1.307,3154,59,0.967,0.153,"No"
8252,32,"F","High School","Unknown",2,3,4251,2295,0.628,15574,115,0.797,0.54,"No"
5961,42,"M","Graduate","$60K - $80K",5,3,3741,0,0.959,4402,55,0.833,0,"No"
8353,47,"F","Unknown","Less than $40K",4,3,2402,628,0.689,1930,48,0.6,0.261,"Yes"
1283,40,"M","College","$60K - $80K",3,3,19666,1180,0.898,3391,54,0.636,0.06,"No"
1358,50,"F","Uneducated","Less than $40K",1,2,2473,1675,0.648,4203,73,0.872,0.677,"No"
3508,38,"M","High School","$60K - $80K",4,3,26556,1583,0.694,3168,73,0.738,0.06,"No"
4300,43,"F","High School","$40K - $60K",4,2,5070,0,0.67,4193,67,0.811,0,"No"
6078,37,"F","Unknown","Less than $40K",5,1,2868,1434,0.777,2909,64,0.488,0.5,"No"
10063,33,"M","High School","$60K - $80K",5,2,14918,2028,1.342,2171,35,1.059,0.136,"No"
1453,53,"F","Unknown","Less than $40K",5,1,1657,0,0.664,4068,73,0.622,0,"No"
335,43,"F","Graduate","Less than $40K",4,2,3523,0,0.973,3174,44,0.222,0,"Yes"
2459,50,"M","College","$60K - $80K",4,2,17404,1745,0.54,4491,78,0.66,0.1,"No"
8638,42,"M","Graduate","Less than $40K",2,3,6967,1767,0.54,1919,38,0.52,0.254,"Yes"
3875,47,"M","Graduate","$80K - $120K",2,1,11671,1304,0.491,4168,71,0.868,0.112,"No"
7413,50,"M","Uneducated","$60K - $80K",4,3,4388,642,0.815,3836,81,0.723,0.146,"No"
2929,50,"F","Graduate","Less than $40K",1,3,2422,502,0.997,2548,46,0.484,0.207,"Yes"
516,65,"F","High School","Less than $40K",3,3,4010,1504,0.766,3807,61,0.564,0.375,"No"
6161,51,"F","College","Less than $40K",6,2,1936,0,0.705,4072,72,0.756,0,"No"
209,46,"M","High School","$80K - $120K",5,1,28327,582,0.912,3475,52,0.733,0.021,"No"
5495,52,"F","Graduate","$40K - $60K",6,2,3360,1219,0.412,1309,30,1,0.363,"No"
3404,52,"M","Uneducated","$80K - $120K",4,1,21877,1073,0.908,3283,56,1,0.049,"No"
4897,38,"M","Graduate","$40K - $60K",6,2,5535,1276,0.636,1764,38,0.9,0.231,"No"
6298,33,"M","Unknown","$40K - $60K",6,1,10023,504,0.942,2878,65,0.625,0.05,"No"
1943,47,"F","High School","Less than $40K",4,2,2730,1970,0.848,3841,69,0.865,0.722,"No"
5888,53,"F","Unknown","Less than $40K",3,3,2819,0,0.4,2128,39,0.444,0,"Yes"
969,36,"M","Uneducated","$120K +",6,3,20230,798,0.592,4314,82,0.708,0.039,"No"
6191,56,"F","Uneducated","Less than $40K",6,1,3022,1627,0.835,4390,82,0.783,0.538,"No"
966,54,"F","Post-Graduate","Less than $40K",3,6,1638,0,0.163,1702,36,0.125,0,"Yes"
6564,46,"M","Graduate","$40K - $60K",4,3,1438.3,890,1.143,2928,48,1.4,0.619,"No"
3035,45,"M","Graduate","$40K - $60K",3,1,15198,2098,0.8,3183,64,0.73,0.138,"No"
688,60,"F","Unknown","$40K - $60K",3,2,2425,0,0.187,1522,36,0.2,0,"Yes"
6462,46,"M","Unknown","$80K - $120K",1,3,3841,1411,0.785,8444,81,0.688,0.367,"No"
6591,53,"M","High School","$120K +",3,2,13091,985,0.322,1452,37,0.276,0.075,"No"
6958,47,"M","Doctorate","$60K - $80K",5,2,20979,1800,0.906,1178,27,0.929,0.086,"No"
4243,53,"M","Uneducated","$80K - $120K",1,3,4503,0,0.659,748,20,0.429,0,"Yes"
9981,55,"F","Uneducated","Less than $40K",3,2,2111,1209,0.594,2803,61,0.605,0.573,"No"
7985,39,"M","Post-Graduate","$80K - $120K",1,1,9959,1501,0.822,8505,86,0.536,0.151,"No"
4200,52,"M","Unknown","$40K - $60K",3,3,4826,0,0.954,8585,62,1,0,"Yes"
4166,42,"M","Post-Graduate","$80K - $120K",6,2,13908,0,0.719,4319,81,0.976,0,"No"
1136,39,"F","Graduate","Less than $40K",3,1,5494,1356,0.463,3566,81,0.884,0.247,"No"
5585,43,"M","Unknown","$40K - $60K",5,1,6111,2517,0.632,1221,16,2.2,0.412,"No"
2916,53,"F","Graduate","$40K - $60K",6,3,1625,0,0.689,2314,43,0.433,0,"Yes"
3777,47,"F","College","Less than $40K",5,2,1585,1304,0.727,4656,80,0.6,0.823,"No"
9254,41,"F","Graduate","Less than $40K",6,2,2157,721,0.769,4250,85,0.889,0.334,"No"
3998,50,"F","Graduate","$40K - $60K",2,1,2833,1622,0.951,14341,101,0.712,0.573,"No"
9634,50,"F","Uneducated","Unknown",6,2,16763,0,0.88,3626,69,0.683,0,"No"
3535,54,"F","High School","Less than $40K",6,2,2306,2200,0.697,2097,57,0.541,0.954,"No"
3834,44,"M","Graduate","$60K - $80K",5,2,3290,0,0.841,4780,84,0.615,0,"No"
7918,42,"M","Graduate","$60K - $80K",6,2,1438.3,0,0.66,1794,45,0.875,0,"No"
2672,44,"F","Uneducated","$40K - $60K",1,3,3657,0,0.785,14802,95,0.667,0,"No"
6401,53,"F","Unknown","Less than $40K",4,2,2383,1938,0.597,1616,37,0.682,0.813,"No"
3835,46,"M","College","$40K - $60K",5,3,16547,0,0.242,1561,41,0.367,0,"Yes"
4476,30,"F","Graduate","Less than $40K",5,1,4203,996,0.705,7292,68,0.7,0.237,"Yes"
6750,52,"F","Unknown","Less than $40K",6,2,1438.3,773,1.138,4890,63,0.909,0.537,"No"
4342,45,"F","Graduate","Less than $40K",4,3,8121,1595,0.743,1914,45,0.5,0.196,"No"
3316,62,"M","Graduate","Less than $40K",6,3,2856,2517,0.615,4473,67,0.489,0.881,"No"
1993,50,"M","Post-Graduate","$60K - $80K",1,3,2296,1371,0.604,5483,77,0.791,0.597,"No"
849,52,"F","Graduate","Less than $40K",5,1,2537,1097,0.874,4964,84,0.909,0.432,"No"
5614,43,"M","Unknown","$60K - $80K",4,1,22322,953,0.769,1348,34,1.125,0.043,"No"
9482,32,"F","Graduate","Less than $40K",3,1,5497,1735,0.664,16266,124,0.771,0.316,"No"
3140,45,"F","Graduate","$40K - $60K",5,2,1936,1613,0.841,4773,80,0.818,0.833,"No"
6971,39,"M","College","$80K - $120K",4,3,32210,1115,0.62,1821,53,0.514,0.035,"No"
9212,51,"F","High School","Less than $40K",2,1,1438.3,0,0.765,4866,65,0.625,0,"No"
3591,44,"F","High School","Less than $40K",2,1,2085,1528,0.664,3805,79,0.795,0.733,"No"
3224,42,"F","College","$40K - $60K",6,3,5424,1812,0.513,1634,44,0.76,0.334,"No"
3988,45,"M","Graduate","$80K - $120K",3,5,31458,1202,0.673,4202,66,0.61,0.038,"No"
1867,45,"M","Graduate","$40K - $60K",5,1,13129,901,0.825,2564,56,0.474,0.069,"No"
6565,38,"M","College","$40K - $60K",6,1,11068,1254,0.418,3812,64,0.641,0.113,"No"
3511,53,"M","Graduate","$80K - $120K",2,1,24262,1984,0.805,8241,105,0.75,0.082,"No"
4558,50,"M","Unknown","$40K - $60K",3,1,5426,1478,0.664,1266,22,0.571,0.272,"No"
5442,48,"F","Uneducated","Less than $40K",3,2,2364,1619,0.585,3230,65,0.711,0.685,"No"
5803,59,"M","Uneducated","$40K - $60K",4,5,2699,2422,0.773,2599,43,0.433,0.897,"Yes"
3558,43,"M","High School","$60K - $80K",5,3,2834,1720,0.62,4581,70,0.591,0.607,"No"
1554,47,"M","Graduate","$60K - $80K",5,4,1896,1119,0.671,4028,76,0.767,0.59,"No"
3238,49,"M","Unknown","$80K - $120K",1,2,26882,1673,0.691,7409,89,0.534,0.062,"No"
7566,39,"M","Unknown","$80K - $120K",6,2,2899,1999,0.832,1687,35,0.591,0.69,"No"
5360,39,"F","Doctorate","Unknown",5,2,8058,791,1.787,2742,42,2,0.098,"No"
6054,52,"F","Uneducated","$40K - $60K",5,2,2498,1650,0.673,4434,79,0.837,0.661,"No"
164,37,"M","Graduate","$80K - $120K",3,2,25187,2209,0.799,16606,96,0.778,0.088,"No"
5284,50,"M","High School","$80K - $120K",4,1,9964,1559,1.873,1626,25,0.786,0.156,"No"
1115,43,"F","Uneducated","Less than $40K",1,3,4579,1506,0.443,1915,44,0.375,0.329,"Yes"
4025,58,"F","College","Less than $40K",3,3,3846,1285,0.608,1815,47,0.621,0.334,"No"
8786,41,"F","Unknown","Less than $40K",4,3,2934,933,0.898,4253,66,0.737,0.318,"No"
4701,41,"M","Post-Graduate","$60K - $80K",4,2,2624,1319,0.768,4189,74,0.609,0.503,"No"
4562,44,"M","Graduate","$120K +",4,1,11876,1926,0.51,1367,33,0.737,0.162,"No"
8890,54,"M","Unknown","$80K - $120K",4,1,6175,960,0.709,1847,59,0.405,0.155,"No"
2998,52,"M","Uneducated","$120K +",2,4,13354,0,0.018,1097,28,0.077,0,"Yes"
4941,43,"F","High School","$40K - $60K",3,2,4430,2203,1.046,2742,49,0.4,0.497,"Yes"
1063,58,"F","Uneducated","Less than $40K",3,2,9909,0,0.466,1844,41,0.64,0,"Yes"
6416,50,"F","Graduate","$40K - $60K",2,2,18386,0,0.868,1298,22,0.571,0,"No"
6383,53,"M","Uneducated","$120K +",4,2,19138,0,0.482,2028,43,0.303,0,"Yes"
1332,64,"M","College","Less than $40K",5,3,2492,1424,0.485,1375,30,0.364,0.571,"No"
68,42,"F","High School","Unknown",1,3,2798,1049,0.89,5758,87,0.706,0.375,"No"
1160,49,"M","Post-Graduate","$80K - $120K",3,2,30885,2018,0.904,17350,115,0.62,0.065,"No"
2736,45,"F","Unknown","Unknown",4,2,3241,0,0.629,4992,80,0.739,0,"No"
5216,56,"F","College","Less than $40K",1,3,5254,0,0.651,4546,89,0.712,0,"No"
6115,39,"F","Doctorate","Less than $40K",6,4,2001,1430,0.555,4509,69,0.683,0.715,"No"
7436,26,"M","Graduate","Less than $40K",6,3,2585,2019,0.525,2644,40,0.481,0.781,"No"
6237,42,"M","Uneducated","Less than $40K",4,3,2411,1797,0.607,4331,63,0.5,0.745,"No"
2594,55,"M","Uneducated","$120K +",3,3,27745,1300,0.482,1525,21,0.5,0.047,"No"
1176,28,"F","College","Unknown",5,3,11881,1488,0.587,4865,87,0.891,0.125,"No"
6356,40,"F","High School","Less than $40K",3,3,1438.3,0,0.845,4332,78,0.696,0,"No"
8003,44,"F","Graduate","Less than $40K",2,2,1438.3,0,0.773,4625,93,0.938,0,"No"
2930,52,"F","Graduate","Less than $40K",2,2,2904,2517,0.586,4503,89,0.712,0.867,"No"
3743,46,"F","Graduate","$40K - $60K",1,3,2652,2386,0.766,5329,83,0.729,0.9,"No"
4489,50,"F","Uneducated","Less than $40K",3,1,3386,2517,0.743,4890,65,0.667,0.743,"No"
9114,44,"M","Graduate","$80K - $120K",3,2,19430,0,1.012,3650,80,0.633,0,"No"
3426,49,"M","Uneducated","$60K - $80K",1,2,6139,1585,0.713,7906,80,0.633,0.258,"No"
2197,46,"F","College","Less than $40K",4,1,1489,949,0.65,4669,94,0.741,0.637,"No"
1878,45,"M","Graduate","$60K - $80K",2,3,13162,0,0.512,1424,38,0.583,0,"Yes"
4074,47,"M","College","$80K - $120K",3,1,5295,723,0.793,4412,90,0.579,0.137,"No"
5108,36,"M","Graduate","$60K - $80K",3,2,20101,1299,0.858,14732,115,0.855,0.065,"No"
2466,55,"M","High School","$60K - $80K",4,3,7231,2381,0.996,1421,23,1.3,0.329,"No"
2561,48,"M","High School","$80K - $120K",3,2,10227,1695,0.875,3577,82,0.783,0.166,"No"
3902,48,"F","Graduate","Unknown",4,4,11692,648,1.265,2997,56,0.867,0.055,"No"
6640,39,"M","College","$40K - $60K",6,2,1640,1177,0.695,3124,66,0.784,0.718,"No"
3830,57,"M","Graduate","$120K +",6,3,34516,1417,0.966,4303,77,0.638,0.041,"No"
5155,51,"M","Post-Graduate","$80K - $120K",6,2,34516,989,1.021,4810,55,0.341,0.029,"Yes"
2559,58,"F","Unknown","Less than $40K",6,2,3034,2517,0.63,1617,29,1.417,0.83,"No"
7313,46,"F","College","Less than $40K",6,1,1996,1544,0.919,3760,69,0.683,0.774,"No"
6223,56,"M","Unknown","$60K - $80K",3,1,1438.3,0,0.503,1093,22,0.833,0,"No"
2190,34,"M","High School","$40K - $60K",4,1,4353,1655,0.806,2664,81,0.884,0.38,"No"
6220,44,"M","Graduate","$60K - $80K",3,1,16739,1229,0.497,4014,69,0.568,0.073,"No"
518,62,"F","Graduate","Less than $40K",3,2,1764,1540,0.937,2094,47,0.958,0.873,"No"
7063,39,"F","High School","Less than $40K",6,3,2292,1839,0.675,4043,72,0.674,0.802,"No"
1316,26,"M","College","$60K - $80K",5,1,8267,1720,0.633,1917,37,0.48,0.208,"No"
8502,43,"F","Graduate","Less than $40K",5,4,8919,2231,0.562,3923,73,1.028,0.25,"No"
9181,43,"F","College","Less than $40K",3,3,2023,1331,0.624,5098,79,0.681,0.658,"No"
1746,56,"M","Graduate","$80K - $120K",2,3,25736,1388,0.743,7209,91,0.596,0.054,"No"
1268,32,"M","High School","Unknown",3,1,16912,1590,1.274,2413,41,0.708,0.094,"No"
8966,47,"F","Uneducated","Less than $40K",6,4,13878,2222,0.853,1658,38,0.357,0.16,"No"
7229,60,"M","Uneducated","$40K - $60K",6,1,3735,1175,1.036,8193,66,0.65,0.315,"Yes"
480,46,"M","High School","$60K - $80K",4,3,34516,2040,0.764,3754,53,1.038,0.059,"No"
5176,44,"F","Doctorate","Less than $40K",4,3,1975,1264,0.671,2959,63,0.8,0.64,"No"
1184,42,"F","Doctorate","Less than $40K",5,3,8668,0,0.275,1402,38,0.31,0,"Yes"
3106,35,"F","College","$40K - $60K",6,1,10980,1726,0.856,1830,36,0.636,0.157,"No"
5549,46,"M","Graduate","$80K - $120K",6,3,4930,0,1.019,3343,77,0.638,0,"No"
8692,45,"F","Graduate","Less than $40K",6,3,5583,0,0.748,3317,71,0.821,0,"No"
630,45,"M","Graduate","$60K - $80K",2,2,34516,1308,0.746,8773,105,0.78,0.038,"No"
3139,61,"F","Graduate","$40K - $60K",3,3,4906,2185,0.66,3999,71,1.088,0.445,"No"
1775,53,"M","Uneducated","$40K - $60K",3,1,4426,1530,0.518,1231,34,0.214,0.346,"No"
5175,47,"M","Graduate","$80K - $120K",6,3,28904,1899,0.85,1334,35,0.4,0.066,"No"
1227,40,"M","Uneducated","$80K - $120K",4,3,32431,850,0.926,4400,71,1.088,0.026,"No"
9100,30,"F","Graduate","Less than $40K",4,1,4704,0,1.177,3294,87,0.891,0,"No"
6853,60,"F","Uneducated","Less than $40K",5,2,1443,0,0.875,4673,59,0.735,0,"No"
7278,34,"M","High School","$120K +",3,3,6259,1063,0.668,1836,50,0.515,0.17,"No"
2272,61,"F","Uneducated","Less than $40K",3,2,6859,2489,0.65,1617,26,1,0.363,"No"
3303,45,"M","Graduate","$60K - $80K",1,2,7653,1693,0.683,7508,93,0.576,0.221,"No"
8690,49,"F","High School","Less than $40K",6,3,2976,2257,0.75,3837,57,0.781,0.758,"No"
6633,35,"F","Doctorate","$40K - $60K",5,2,2655,1527,0.715,1921,26,0.444,0.575,"No"
7440,53,"F","Post-Graduate","$40K - $60K",5,1,2618,2026,0.669,4198,68,0.619,0.774,"No"
2000,51,"F","High School","Less than $40K",3,4,1857,1033,0.95,5149,90,0.636,0.556,"No"
6789,38,"M","Post-Graduate","$60K - $80K",3,3,34516,1954,0.436,1872,52,0.486,0.057,"No"
9509,49,"M","Doctorate","$120K +",6,1,9364,618,0.554,1099,27,0.8,0.066,"No"
2705,40,"F","Graduate","Unknown",5,2,1438.3,0,0.542,2258,59,0.788,0,"No"
1474,41,"M","Graduate","$80K - $120K",4,2,12270,0,0.543,4578,67,0.811,0,"No"
6686,42,"F","Graduate","Less than $40K",3,2,2555,1587,1.088,4193,79,0.881,0.621,"No"
4063,45,"M","College","$80K - $120K",6,1,31625,0,0.559,4503,77,0.674,0,"No"
318,40,"M","High School","$60K - $80K",4,3,5869,0,0.642,2203,41,0.519,0,"Yes"
6980,47,"M","Graduate","$80K - $120K",3,2,4586,0,0.812,2529,43,0.433,0,"Yes"
2015,54,"F","Graduate","Less than $40K",1,2,1740,0,0.811,4751,93,0.86,0,"No"
9997,44,"F","College","$40K - $60K",4,2,4589,1240,0.856,1637,61,0.906,0.27,"No"
5395,41,"M","Uneducated","$80K - $120K",5,3,8004,1452,0.929,1084,32,0.524,0.181,"Yes"
3085,47,"M","Unknown","$120K +",3,2,11629,802,0.912,3752,78,0.902,0.069,"No"
9704,59,"F","Post-Graduate","$40K - $60K",5,3,2634,1644,1.092,4190,71,0.732,0.624,"No"
8230,51,"M","High School","$80K - $120K",5,2,15897,1437,0.584,1405,43,0.387,0.09,"No"
107,49,"M","High School","$80K - $120K",4,3,31302,1953,0.875,1564,35,2.182,0.062,"No"
8216,41,"M","Unknown","Less than $40K",1,1,1950,998,0.619,4630,84,0.714,0.512,"No"
1109,36,"F","Uneducated","Unknown",3,1,1954,1179,0.867,3896,67,0.718,0.603,"No"
9169,33,"F","Graduate","$40K - $60K",2,2,4883,0,0.724,4613,82,1,0,"No"
3456,40,"M","Graduate","$80K - $120K",6,2,11942,1651,0.598,1085,29,0.208,0.138,"No"
7732,45,"F","Uneducated","Less than $40K",1,1,3335,2238,0.644,5321,78,0.95,0.671,"No"
3231,50,"F","Unknown","Unknown",1,3,21498,1542,0.759,13015,104,0.857,0.072,"No"
2862,51,"M","College","$120K +",5,1,34516,2332,0.8,4587,82,0.745,0.068,"No"
4304,32,"M","High School","$60K - $80K",1,1,6224,1965,0.739,13630,124,0.699,0.316,"No"
452,42,"F","Graduate","$40K - $60K",6,2,3376,1661,0.618,4629,75,0.923,0.492,"No"
724,38,"F","Uneducated","$40K - $60K",3,2,2435,2432,0.12,1460,32,0.103,0.999,"Yes"
6455,48,"F","Graduate","Unknown",1,2,8074,2426,0.72,5372,93,0.788,0.3,"No"
10017,46,"F","Graduate","Less than $40K",3,3,1592,925,0.804,4615,90,0.667,0.581,"No"
7952,44,"M","High School","$60K - $80K",4,2,21158,0,0.633,4071,67,0.811,0,"No"
6618,44,"M","Uneducated","$80K - $120K",4,3,34516,1043,0.69,4654,59,0.639,0.03,"No"
